"","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12"
"OTU742",0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,1,0,0,8,3,0,0,0,0,0,1,0
"OTU741",0,0,0,2,3,2,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,3,0,0,4,2,0,0,0,0,0,0,0
"OTU766",1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,3,2,0,0,0,0,0,0,0
"OTU740",1,1,2,0,1,2,0,3,4,3,1,8,0,0,0,1,0,1,0,1,0,0,0,0,1,2,3,2,1,1,3,2,2,2,7,0
"OTU1071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,4,1,0,0,1,1,5,2,1,1
"OTU1070",1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"OTU728",10,4,4,3,11,7,0,9,2,6,2,10,1,1,24,3,4,9,9,5,1,0,6,5,14,1,6,9,5,2,2,5,10,5,9,5
"OTU964",1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1001",0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,2,0,1,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU944",0,0,2,1,0,0,0,2,3,1,1,1,2,4,0,2,2,2,2,1,1,0,0,0,0,2,1,0,0,2,0,0,2,2,1,0
"OTU462",4,3,3,4,9,10,20,6,13,16,2,1,15,21,8,7,4,3,4,9,5,5,2,7,0,12,7,0,9,17,5,6,2,4,0,4
"OTU463",3,2,7,6,5,4,10,19,12,10,4,11,1,6,6,2,2,4,3,6,3,5,1,2,5,14,1,8,7,22,5,10,15,13,15,22
"OTU460",12,11,20,13,8,10,12,12,16,23,6,30,12,18,15,4,17,10,12,13,19,6,5,17,5,6,9,5,7,12,3,7,16,24,23,23
"OTU461",0,1,17,0,0,13,0,0,0,21,3,1,10,11,12,7,14,6,8,12,23,60,12,5,1,15,1,0,1,0,24,1,3,42,1,2
"OTU466",8,6,16,13,7,4,35,23,11,19,22,21,7,6,7,6,5,6,4,7,10,16,1,10,3,29,9,6,14,47,11,21,25,25,22,38
"OTU467",5,7,8,3,5,10,54,15,10,8,9,6,9,8,4,12,1,3,4,4,5,6,2,14,1,17,21,4,9,17,31,26,11,9,5,11
"OTU464",18,12,11,2,1,2,4,3,3,2,4,0,7,2,4,12,2,0,0,4,3,10,15,3,1,4,6,0,0,2,0,1,3,5,0,1
"OTU465",7,4,15,22,19,11,43,31,23,38,8,24,38,22,22,40,18,7,6,14,7,8,7,21,3,32,15,4,17,59,10,14,8,11,11,48
"OTU783",0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,2,2,0,0,1,0,3,2,2,1,4,1,1,0,1,0,6,1,0,0,3
"OTU782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,5,1,0,0,0,0
"OTU468",0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,1,17,9,2,4,6,2,0,3,1,6,5,2,0,4,1,1,6,2,2,0
"OTU469",0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0
"OTU787",0,2,1,0,2,0,4,3,1,3,0,3,0,2,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,1,0,2,0,0,0,1
"OTU701",5,1,2,2,1,0,7,3,2,3,4,6,1,3,1,2,1,1,1,2,4,3,0,3,1,2,4,1,1,9,3,2,2,1,2,4
"OTU785",1,1,1,1,3,1,7,6,2,1,2,4,0,9,1,2,2,1,0,2,1,2,1,4,0,3,2,0,2,7,1,4,1,1,1,1
"OTU784",3,0,0,0,0,0,2,0,1,4,0,1,13,4,2,6,1,1,2,4,2,0,1,0,0,3,2,1,1,3,1,3,3,0,0,2
"OTU497",5,4,2,0,0,0,0,0,0,2,2,7,3,6,2,4,4,3,0,2,4,3,4,2,0,7,3,0,0,1,11,21,10,4,3,0
"OTU700",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU549",4,17,22,1,5,14,25,6,10,36,18,11,5,9,3,7,2,3,2,10,9,6,3,12,8,14,7,8,22,28,38,8,8,19,15,18
"OTU548",0,0,1,1,14,6,1,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,7,0,0,0,1,2,0,0,0,0,0,0,0
"OTU269",0,2,0,2,1,0,2,0,0,0,0,0,24,26,31,33,38,11,14,27,37,26,25,30,0,1,1,0,0,0,0,0,0,1,0,0
"OTU545",7,10,8,11,3,6,14,13,12,14,20,9,8,13,6,4,12,4,6,11,12,6,7,16,3,9,6,4,5,14,6,12,9,19,13,11
