"","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12"
"OTU78",300,306,313,172,33,30,14,20,78,123,222,274,3,5,0,3,7,3,0,2,6,4,4,6,34,33,125,28,17,13,82,132,133,48,30,20
"OTU79",35,37,37,15,16,33,11,73,33,23,25,28,45,19,25,43,47,32,11,20,37,50,94,24,71,241,111,129,91,191,91,152,182,85,203,570
"OTU1158",0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU961",0,1,0,0,0,0,1,0,2,3,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0
"OTU1098",0,0,0,0,0,0,4,1,0,2,2,1,7,11,6,3,3,0,2,3,3,4,1,5,0,1,2,0,2,5,0,3,1,0,3,4
"OTU966",3,2,2,0,0,1,3,1,5,6,3,2,0,0,3,0,1,2,2,0,8,1,3,1,3,4,4,5,3,16,1,11,4,6,6,5
"OTU432",24,25,27,11,12,3,9,15,14,5,17,12,0,0,0,0,0,0,0,0,0,2,1,1,0,11,5,0,3,3,17,14,6,6,19,11
"OTU1121",0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1120",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"OTU1123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,1,2,3,0
"OTU1122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,2,0
"OTU1124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1127",0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,1,2,0,0,0,0,1,0,1,0,6,0,0,0,3,0,0,0,0,0
"OTU733",0,2,0,2,2,0,0,1,1,1,2,0,3,1,0,3,1,0,1,4,2,4,2,0,1,1,0,0,0,0,3,0,0,1,0,0
"OTU1129",0,0,1,0,1,1,3,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
"OTU1128",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
"OTU990",4,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU974",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,0,0
"OTU1155",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0
"OTU659",5,6,1,1,2,2,2,5,5,1,3,3,0,1,1,1,0,0,0,2,0,1,0,0,4,4,8,0,3,0,4,3,3,7,2,0
"OTU1126",0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,5,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0
"OTU510",16,15,9,13,7,3,11,12,5,4,1,4,9,5,3,11,6,8,3,4,7,12,24,8,5,16,8,8,5,13,7,8,8,3,5,16
"OTU658",0,0,0,1,0,2,15,4,0,0,0,0,1,8,6,2,3,4,3,4,0,3,2,7,0,0,0,0,1,3,1,0,0,0,0,1
"OTU1005",2,0,5,1,0,3,6,4,3,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1
"OTU511",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,14,2,9,25,12,2,4,13,19,18,13
"OTU955",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,2,2,3,3,3,1,3,6,2,5,4,4,1,2
"OTU927",0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
